"Symbol","InstrType","Comment","PriceIn","BaseFileName","LotSize","Ask","Bid","Slippage","Spread","SwapLong","SwapShort","Commission","RateToUSD","RateToEUR","RateToGBP","RateToJPY","SwapType","CommissionType","CommissionScope","CommissionTime","Digits","Point","Pip","IsFiveDigits","StopLevel","TickValue","MinLot","MaxLot","LotStep","MarginRequired","RSI_14_1D","RSI_14_30m","PrvsDyCls","minClose","5minClose","15minClose","RSI_14_4Hr","ATR14_D","Preious2MinClose","Preious3MinClose","Preious4MinClose","vwma"
NZDUSD.,1,"Currencies~!Australian~!New Zealand Dollar vs US Dollar",USD,NZDUSD.,100000,0.61906000,0.61905000,0,1.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,30.612080,24.844147,0.627110,0.619210,0.618810,0.618810,23.843629,0.009621,0.619290,0.619630,0.618810,0.000000,,
USDCAD.,1,"Currencies~!Major~!US Dollar vs Canadian Dollar",CAD,USDCAD.,100000,1.38220000,1.38218000,0,2.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,84.158696,63.021734,1.377760,1.382030,1.383580,1.383580,66.774914,0.010670,1.383310,1.381900,1.383580,0.000000,,
USDCHF.,1,"Currencies~!Major~!US Dollar vs Swiss Franc",CHF,USDCHF.,100000,0.93821000,0.93820000,0,1.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,31.296593,54.015529,0.938780,0.937590,0.941690,0.941690,55.800796,0.009686,0.939200,0.938580,0.941690,0.000000,,
AUDCAD.,1,"Currencies~!Australian~!Australian Dollar vs Canadian Dollar",CAD,AUDCAD.,100000,0.87973000,0.87966000,0,7.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,44.216065,18.673262,0.893730,0.879710,0.880350,0.880350,18.446223,0.012002,0.880950,0.880250,0.880350,0.000000,,
AUDCHF.,1,"Currencies~!Australian~!Australian Dollar vs Swiss Franc",CHF,AUDCHF.,100000,0.59719000,0.59711000,0,8.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,15.580317,24.920052,0.608970,0.596740,0.599160,0.599160,23.614074,0.011218,0.598100,0.597900,0.599160,0.000000,,
CADCHF.,1,"Currencies~!Minor~!Canadian Dollar vs Swiss Franc",CHF,CADCHF.,100000,0.67880000,0.67880000,0,0.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,20.257443,45.166032,0.681010,0.678200,0.680240,0.680240,45.804204,0.010054,0.678930,0.679090,0.680240,0.000000,,
CADJPY.,1,"Currencies~!Minor~!Canadian Dollar vs Japanese Yen",JPY,CADJPY.,100000,75.18900000,75.18200000,0,7.00,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0,0,0,1,3,0.001,0.000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,27.212214,43.566712,75.742000,75.209000,75.241000,75.241000,41.382672,1.507071,75.199000,75.244000,75.241000,0.000000,,
CHFJPY.,1,"Currencies~!Minor~!Swiss Frank vs Japanese Yen",JPY,CHFJPY.,100000,110.77200000,110.77200000,0,0.00,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0,0,0,1,3,0.001,0.000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,41.009224,47.931557,111.147000,110.868000,110.480000,110.480000,42.042552,1.290857,110.771000,110.777000,110.480000,0.000000,,
EURAUD.,1,"Currencies~!Australian~!FX:Euro vs Australian Dollar",AUD,EURAUD.,100000,1.76978000,1.76978000,0,0.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,82.084598,76.672955,1.734760,1.771040,1.760820,1.760820,76.576212,0.029532,1.767370,1.768520,1.760820,0.000000,,
EURCAD.,1,"Currencies~!Minor~!Euro vs Canadian Dollar",CAD,EURCAD.,100000,1.55710000,1.55664000,0,46.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,78.633599,57.596027,1.551210,1.558360,1.550150,1.550150,54.217741,0.020299,1.556980,1.556350,1.550150,0.000000,,
